Unnamed: 0,time,Cyclone_Inlet_Gas_Temp,Cyclone_Material_Temp,Cyclone_Outlet_Gas_draft,Cyclone_cone_draft,Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Draft
0,2017-01-01 00:00:00,867.63,910.42,-189.54,-186.04,852.13,-145.9
1,2017-01-01 00:05:00,879.23,918.14,-184.33,-182.1,862.53,-149.76
2,2017-01-01 00:10:00,875.67,924.18,-181.26,-166.47,866.06,-145.01
3,2017-01-01 00:15:00,875.28,923.15,-179.15,-174.83,865.85,-142.82
4,2017-01-01 00:20:00,891.66,934.26,-178.32,-173.72,876.06,-143.39
5,2017-01-01 00:25:00,878.54,932.38,-188.37,-177.98,870.31,-146.92
6,2017-01-01 00:30:00,905.94,951.32,-184.2,-182.67,889.39,-151.83
7,2017-01-01 00:35:00,877.83,939.63,-184.2,-181.17,875.75,-149.7
8,2017-01-01 00:40:00,871.01,938.73,-184.2,-181.17,871.35,-145.62
9,2017-01-01 00:45:00,905.46,939.06,-182.63,-178.23,871.35,-148.88
10,2017-01-01 00:50:00,875.11,942.88,-176.8,-168.39,878.61,-144.2
11,2017-01-01 00:55:00,901.2,943.19,-181.26,-172.76,880.51,-141.84
12,2017-01-01 01:00:00,874.51,927.81,-182.62,-179.49,867.31,-149.57
13,2017-01-01 01:05:00,882.43,938.17,-178.25,-167.2,874.02,-143.44
14,2017-01-01 01:10:00,870.1,925.33,-182.74,-176.9,864.27,-146.68
15,2017-01-01 01:15:00,898.47,944.3,-180.99,-165.5,881.09,-140.55
16,2017-01-01 01:20:00,860.7,921.5,-175.01,-164.8,860.77,-139.33
17,2017-01-01 01:25:00,890.84,931.01,-182.94,-180.89,874.42,-150.16
18,2017-01-01 01:30:00,862.19,922.43,-179.05,-169.42,864.56,-143.93
19,2017-01-01 01:35:00,871.39,919.13,-179.11,-174.53,864.57,-146.12
20,2017-01-01 01:40:00,891.74,932.76,-178.89,-174.84,876.66,-144.11
21,2017-01-01 01:45:00,868.0,922.29,-180.98,-175.4,868.35,-143.98
22,2017-01-01 01:50:00,867.43,920.34,-175.39,-167.09,866.06,-142.84
23,2017-01-01 01:55:00,869.09,916.98,-175.87,-165.95,864.79,-140.33
24,2017-01-01 02:00:00,880.62,931.83,-172.5,-155.09,875.71,-136.12
25,2017-01-01 02:05:00,889.37,940.07,-173.63,-170.86,882.55,-138.78
26,2017-01-01 02:10:00,870.75,938.4,-176.35,-165.67,877.18,-147.11
27,2017-01-01 02:15:00,871.49,930.46,-178.12,-160.85,874.03,-141.21
28,2017-01-01 02:20:00,873.51,935.66,-179.29,-168.52,876.21,-145.1
