ds,y
2017-01-01 00:00:00,852.13
2017-01-01 00:05:00,862.53
2017-01-01 00:10:00,866.06
2017-01-01 00:15:00,865.85
2017-01-01 00:20:00,876.06
2017-01-01 00:25:00,870.31
2017-01-01 00:30:00,889.39
2017-01-01 00:35:00,875.75
2017-01-01 00:40:00,871.35
2017-01-01 00:45:00,871.35
2017-01-01 00:50:00,878.61
2017-01-01 00:55:00,880.51
2017-01-01 01:00:00,867.31
2017-01-01 01:05:00,874.02
2017-01-01 01:10:00,864.27
2017-01-01 01:15:00,881.09
2017-01-01 01:20:00,860.77
2017-01-01 01:25:00,874.42
2017-01-01 01:30:00,864.56
2017-01-01 01:35:00,864.57
2017-01-01 01:40:00,876.66
2017-01-01 01:45:00,868.35
2017-01-01 01:50:00,866.06
2017-01-01 01:55:00,864.79
2017-01-01 02:00:00,875.71
2017-01-01 02:05:00,882.55
2017-01-01 02:10:00,877.18
2017-01-01 02:15:00,874.03
2017-01-01 02:20:00,876.21
2017-01-01 02:25:00,872.47
2017-01-01 02:30:00,874.65
2017-01-01 02:35:00,870.57
2017-01-01 02:40:00,879.3
2017-01-01 02:45:00,863.22
2017-01-01 02:50:00,872.47
2017-01-01 02:55:00,876.51
2017-01-01 03:00:00,875.44
2017-01-01 03:05:00,869.42
2017-01-01 03:10:00,877.2
2017-01-01 03:15:00,856.43
2017-01-01 03:20:00,852.48
2017-01-01 03:25:00,865.36
2017-01-01 03:30:00,877.4
2017-01-01 03:35:00,864.66
2017-01-01 03:40:00,877.95
2017-01-01 03:45:00,871.83
2017-01-01 03:50:00,875.26
2017-01-01 03:55:00,892.23
2017-01-01 04:00:00,878.19
2017-01-01 04:05:00,864.44
2017-01-01 04:10:00,874.57
2017-01-01 04:15:00,876.59
2017-01-01 04:20:00,879.0
2017-01-01 04:25:00,866.82
2017-01-01 04:30:00,868.1
2017-01-01 04:35:00,868.98
2017-01-01 04:40:00,879.21
2017-01-01 04:45:00,855.05
2017-01-01 04:50:00,864.88
2017-01-01 04:55:00,871.84
2017-01-01 05:00:00,859.89
2017-01-01 05:05:00,859.76
2017-01-01 05:10:00,873.99
2017-01-01 05:15:00,860.32
2017-01-01 05:20:00,859.96
2017-01-01 05:25:00,868.22
2017-01-01 05:30:00,876.03
2017-01-01 05:35:00,851.57
2017-01-01 05:40:00,845.88
2017-01-01 05:45:00,845.05
2017-01-01 05:50:00,851.93
2017-01-01 05:55:00,856.47
2017-01-01 06:00:00,867.5
2017-01-01 06:05:00,851.58
2017-01-01 06:10:00,866.51
2017-01-01 06:15:00,850.95
2017-01-01 06:20:00,847.92
2017-01-01 06:25:00,853.39
2017-01-01 06:30:00,856.42
2017-01-01 06:35:00,857.51
2017-01-01 06:40:00,866.97
2017-01-01 06:45:00,867.36
2017-01-01 06:50:00,859.9
2017-01-01 06:55:00,855.53
2017-01-01 07:00:00,856.46
2017-01-01 07:05:00,854.79
2017-01-01 07:10:00,858.01
2017-01-01 07:15:00,857.45
2017-01-01 07:20:00,857.56
